TaxID	Taxon	Rank
TaxID_1768108	Deinococcus actinosclerus	species
TaxID_44255	Bradyrhizobium oligotrophicum	species
TaxID_1913684	Escherichia virus VR20	species
TaxID_930806	Halioglobus pacificus	species
TaxID_1560345	Sphingomonas panacis	species
TaxID_54248	Hyperthermus butylicus	species
TaxID_96773	Thauera chlorobenzoica	species
TaxID_1883367	Synechococcus phage S-CAM4	species
TaxID_1204540	Enterococcus phage EfaCPT1	species
TaxID_67824	Citrobacter farmeri	species
TaxID_1869241	Nostoc sp. CENA543	species
TaxID_535712	Candidatus Rhodoluna planktonica	species
TaxID_57704	Tsukamurella tyrosinosolvens	species
TaxID_544580	Actinomyces oris	species
TaxID_287	Pseudomonas aeruginosa	species
TaxID_45663	Desulfohalobium retbaense	species
TaxID_28104	Mesorhizobium huakuii	species
TaxID_1573458	Pseudomonas phage PS-1	species
TaxID_1660076	Campylobacter sp. RM12175	species
TaxID_2102	Mycoplasma mycoides	species
TaxID_2261	Pyrococcus furiosus	species
TaxID_1789762	Methanosphaera sp. BMS	species
TaxID_52443	Vibrio tapetis	species
TaxID_386891	Moraxella bovoculi	species
TaxID_35793	Rickettsia sibirica	species
TaxID_709883	Micromonospora zamorensis	species
TaxID_222805	Mycobacterium chimaera	species
TaxID_145458	Rathayibacter toxicus	species
TaxID_1853130	Pseudomonas silesiensis	species
TaxID_261524	Mycobacterium liflandii	species
TaxID_1981043	Klebsiella virus Sushi	species
TaxID_2052837	Neisseriaceae bacterium DSM 100970	species
TaxID_1666906	Halomonas sp. HL-93	species
TaxID_623	Shigella flexneri	species
TaxID_1495638	Streptomyces sp. M56	species
TaxID_2020311	Rhizobium sp. Kim5	species
TaxID_1862959	Lactococcus phage D4412	species
TaxID_35788	Rickettsia africae	species
TaxID_74318	Maricaulis maris	species
TaxID_1244	Leuconostoc gelidum	species
TaxID_1796921	Ereboglobus luteus	species
TaxID_712538	Selenomonas sp. oral taxon 478	species
TaxID_2171755	Rhodobacteraceae bacterium BAR1	species
TaxID_1925548	Candidatus Fonsibacter ubiquis	species
TaxID_223308	Potato yellow mosaic Trinidad virus	species
TaxID_511062	Oceanimonas sp. GK1	species
TaxID_2493669	Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	species
TaxID_2153485	Streptomyces sp. endophyte_N2	species
TaxID_292566	Dactylococcopsis salina	species
TaxID_885581	Desulfosporosinus acidiphilus	species
TaxID_1848255	Actinobacteria bacterium IMCC25003	species
TaxID_1918727	Escherichia virus ep3	species
TaxID_168471	Laribacter hongkongensis	species
TaxID_2133	Spiroplasma citri	species
TaxID_73422	Streptococcus phage TP-J34	species
TaxID_213554	Halomonas campaniensis	species
TaxID_1563222	Citrobacter pasteurii	species
TaxID_72	Simonsiella muelleri	species
TaxID_1836467	Maribacter sp. T28	species
TaxID_994692	Candidatus Kinetoplastibacterium desouzaii	species
TaxID_1433126	Mucinivorans hirudinis	species
TaxID_216816	Bifidobacterium longum	species
TaxID_712368	Leptotrichia sp. oral taxon 498	species
TaxID_708186	Arcobacter trophiarum	species
TaxID_643674	Paenalcaligenes hominis	species
TaxID_1704307	Candidatus Xiphinematobacter sp. Idaho Grape	species
TaxID_380749	Hydrogenobaculum sp. Y04AAS1	species
TaxID_45610	Psychrobacter urativorans	species
TaxID_411153	Gramella forsetii	species
TaxID_67854	Actinobacillus succinogenes	species
TaxID_267363	Lactobacillus zymae	species
TaxID_29519	Borreliella garinii	species
TaxID_45398	Streptomyces griseoviridis	species
TaxID_1479019	Methylobacterium sp. C1	species
TaxID_1619311	Paenibacillus physcomitrellae	species
TaxID_1336794	Formosa sp. Hel1_33_131	species
TaxID_766224	Vibrio jasicida	species
TaxID_1903266	Cedratvirus A11	species
TaxID_29498	Vibrio tubiashii	species
TaxID_300825	Bacillus lehensis	species
TaxID_450734	Nocardioides dokdonensis	species
TaxID_1768	Mycobacterium kansasii	species
TaxID_33002	Desulfurella acetivorans	species
TaxID_1052	Halorhodospira halochloris	species
TaxID_483937	Paenibacillus riograndensis	species
TaxID_2213200	Nocardia sp. Y48	species
TaxID_173480	Gemmatimonas aurantiaca	species
TaxID_53408	Pseudomonas citronellolis	species
TaxID_160791	Sphingomonas wittichii	species
TaxID_1644130	Maribacter sp. 1_2014MBL_MicDiv	species
TaxID_198252	Candidatus Pelagibacter ubique	species
TaxID_10506	Paramecium bursaria Chlorella virus 1	species
TaxID_271098	Shewanella halifaxensis	species
TaxID_754075	Vibrio phage 11895-B1	species
TaxID_1392	Bacillus anthracis	species
TaxID_36874	Porphyromonas cangingivalis	species
TaxID_36855	Brucella canis	species
TaxID_2015076	Chryseobacterium sp. T16E-39	species
TaxID_1981173	Rhizobium sp. NXC14	species
TaxID_1938604	Aquaspirillum sp. LM1	species
TaxID_1582	Lactobacillus casei	species
TaxID_86332	Mogibacterium pumilum	species
TaxID_788	Rickettsia canadensis	species
TaxID_155085	Staphylococcus lutrae	species
TaxID_637971	Lactobacillus koreensis	species
TaxID_2169920	Escherichia virus HK106	species
TaxID_216946	Spiroplasma turonicum	species
TaxID_1580092	Candidatus Nitrosopumilus adriaticus	species
TaxID_76887	Caldivirga maquilingensis	species
TaxID_29292	Pyrococcus abyssi	species
TaxID_1379	Gemella haemolysans	species
TaxID_28084	Legionella cherrii	species
TaxID_1054217	Thermoplasmatales archaeon BRNA1	species
TaxID_146826	Halorhabdus utahensis	species
TaxID_212663	Vibrio tasmaniensis	species
TaxID_1446792	Bacillus sp. Pc3	species
TaxID_160	Treponema pallidum	species
TaxID_1815968	Salmonella phage SJ46	species
TaxID_1472912	Nitrincola phage 1M3-16	species
TaxID_172049	Thermococcus sibiricus	species
TaxID_412384	Bacillus aryabhattai	species
TaxID_53412	Pseudomonas resinovorans	species
TaxID_1977865	Candidatus Pelagibacter sp. RS40	species
TaxID_126740	Thermotoga sp. RQ2	species
TaxID_1538553	Methylomonas denitrificans	species
TaxID_1291540	Candidatus Methanomethylophilus alvus	species
TaxID_2189	Methanotorris igneus	species
TaxID_31909	Halothermothrix orenii	species
TaxID_2291597	Gallaecimonas sp. HK-28	species
TaxID_189385	Candidatus Tremblaya princeps	species
TaxID_1284	Staphylococcus hyicus	species
TaxID_121277	Pyrobaculum arsenaticum	species
TaxID_1147143	Enterobacteria phage HK140	species
TaxID_1608628	Candidatus Filomicrobium marinum	species
TaxID_119219	Cupriavidus metallidurans	species
TaxID_1415568	Marinobacter sp. LV10R510-11A	species
TaxID_111781	Leptolyngbya sp. PCC 7376	species
TaxID_2109687	Oscillibacter sp. PEA192	species
TaxID_146939	Azospira oryzae	species
TaxID_386487	Candidatus Ruthia magnifica	species
TaxID_1278479	Cyanophage S-RIM32	species
TaxID_1562970	Fermentimonas caenicola	species
TaxID_2173	Methanobrevibacter smithii	species
TaxID_149715	Marinitoga piezophila	species
TaxID_160386	Corynebacterium casei	species
TaxID_1315974	Sphingobium sp. TKS	species
TaxID_413502	Cronobacter turicensis	species
TaxID_161895	Corynebacterium phocae	species
TaxID_881260	Enterobacter bugandensis	species
TaxID_634157	Halorubrum sp. PV6	species
TaxID_1248727	endosymbiont of unidentified scaly snail isolate Monju	species
TaxID_119858	Bacillus sonorensis	species
TaxID_1163710	Cronobacter condimenti	species
TaxID_60217	Shewanella violacea	species
TaxID_28200	Arcobacter skirrowii	species
TaxID_172042	Rothia aeria	species
TaxID_536466	Synechococcus phage S-SSM4	species
TaxID_1471	Bacillus methanolicus	species
TaxID_164393	Lactobacillus fuchuensis	species
TaxID_316068	Leadbetterella byssophila	species
TaxID_1675036	Megasphaera hexanoica	species
TaxID_1404768	Bradyrhizobium sp. 2 39S1MB	species
TaxID_153496	Kozakia baliensis	species
TaxID_1701828	Streptococcus phage phiARI0468-2	species
TaxID_1536774	Paenibacillus sp. FSL H7-0357	species
TaxID_330	Pseudomonas pseudoalcaligenes	species
TaxID_999	Bernardetia litoralis	species
TaxID_954	Francisella persica	species
TaxID_136073	Dolichospermum compactum	species
TaxID_476	Moraxella bovis	species
TaxID_1985254	Xanthomonas phaseoli	species
TaxID_266749	Chryseobacterium jeonii	species
TaxID_1678728	Flavobacterium kingsejongi	species
TaxID_1815972	Mycobacterium phage ArcherNM	species
TaxID_309806	Sulfurihydrogenibium azorense	species
TaxID_2014	Nocardiopsis dassonvillei	species
TaxID_669502	Candidatus Profftella armatura	species
TaxID_1150991	Sphingomonas phage PAU	species
TaxID_67780	Edwardsiella ictaluri	species
TaxID_118613	Pseudomonas sp. B10	species
TaxID_2267264	Alteromonas sp. RKMC-009	species
TaxID_1510	Thermoclostridium stercorarium	species
TaxID_83171	Methanocaldococcus fervens	species
TaxID_28119	Bacteroides zoogleoformans	species
TaxID_1285594	Glossina hytrovirus	species
TaxID_73913	Methanocaldococcus vulcanius	species
TaxID_1589	Lactobacillus pentosus	species
TaxID_687803	Cyanophage S-RIM50	species
TaxID_222136	Helicobacter sp. MIT 01-6242	species
TaxID_296	Pseudomonas fragi	species
TaxID_1082851	Comamonas serinivorans	species
TaxID_1758194	Achromobacter sp. AONIH1	species
TaxID_163877	Virgibacillus necropolis	species
TaxID_1882749	Opitutus sp. GAS368	species
TaxID_259354	Desulfatibacillum alkenivorans	species
TaxID_1914855	Escherichia virus FV3	species
TaxID_2492837	Sphingomonas sp. C8-2	species
TaxID_1707785	Massilia sp. WG5	species
TaxID_863643	Thermincola potens	species
TaxID_1462996	Paenibacillus yonginensis	species
TaxID_2083052	Pseudomonas sp. SWI36	species
TaxID_83191	Melanoplus sanguinipes entomopoxvirus	species
TaxID_981386	Brucella vulpis	species
TaxID_1650658	Actinobacteria bacterium IMCC26256	species
TaxID_1411621	Hymenobacter sedentarius	species
TaxID_292800	Flavonifractor plautii	species
TaxID_29520	Borrelia crocidurae	species
TaxID_1597976	Enterococcus phage EFDG1	species
TaxID_10397	Tupaiid betaherpesvirus 1	species
TaxID_46541	Thermosipho melanesiensis	species
TaxID_1003110	Verrucosispora maris	species
TaxID_2029983	Chitinophaga caeni	species
TaxID_200451	Pseudomonas poae	species
TaxID_279828	Microcella alkaliphila	species
TaxID_1930071	Methylomusa anaerophila	species
TaxID_651143	Fibrella aestuarina	species
TaxID_1278212	Arcobacter suis	species
TaxID_361575	Pseudarthrobacter phenanthrenivorans	species
TaxID_2113	Mycoplasma californicum	species
TaxID_1465	Brevibacillus laterosporus	species
TaxID_2026787	Rhodothermaceae bacterium	species
TaxID_861208	Agrobacterium sp. H13-3	species
TaxID_229155	Borrelia turcica	species
TaxID_54308	Pleurocapsa minor	species
TaxID_500	Thermomicrobium roseum	species
TaxID_208439	Amycolatopsis japonica	species
TaxID_1704499	Methylovulum psychrotolerans	species
TaxID_29343	[Clostridium] cellulosi	species
TaxID_1131462	Dehalobacter sp. CF	species
TaxID_29341	Clostridium argentinense	species
TaxID_1222016	Caldicellulosiruptor changbaiensis	species
TaxID_35841	Bacillus thermoamylovorans	species
TaxID_1355477	Bradyrhizobium diazoefficiens	species
TaxID_59930	Cyanobium gracile	species
TaxID_52022	Meiothermus silvanus	species
TaxID_2049881	Streptomyces dengpaensis	species
TaxID_2493675	Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	species
TaxID_366602	Caulobacter sp. K31	species
TaxID_28095	Burkholderia gladioli	species
TaxID_1545835	Marinitoga sp. 1137	species
TaxID_2306165	Streptomyces sp. CC0208	species
TaxID_32053	Thermosynechococcus vulcanus	species
TaxID_226665	Rickettsia heilongjiangensis	species
TaxID_1379870	Spirosoma radiotolerans	species
TaxID_2048898	Microbacterium sp. Y-01	species
TaxID_348043	Streptomyces davaonensis	species
TaxID_1798224	Jiangella sp. DSM 45060	species
TaxID_651561	Chryseobacterium arthrosphaerae	species
TaxID_1847728	Lactobacillus allii	species
TaxID_2057808	Lacinutrix sp. Bg11-31	species
TaxID_173	Leptospira interrogans	species
TaxID_1768242	Paucibacter sp. KCTC 42545	species
TaxID_717609	Caldicellulosiruptor obsidiansis	species
TaxID_1006576	Defluviitoga tunisiensis	species
TaxID_1334	Streptococcus dysgalactiae	species
TaxID_1945658	Capnocytophaga sp. H4358	species
TaxID_2049332	Methylomicrobium sp. wino1	species
TaxID_182210	Pseudodesulfovibrio aespoeensis	species
TaxID_1842532	Pelobacter sp. SFB93	species
TaxID_59405	Thauera aromatica	species
TaxID_2109688	Clostridiales bacterium CCNA10	species
TaxID_862751	Streptomyces sp. SirexAA-E	species
TaxID_1616117	Streptomyces formicae	species
TaxID_1111760	Streptococcus troglodytae	species
TaxID_1513258	Gammapapillomavirus 13	species
TaxID_1004901	Gordonia iterans	species
TaxID_2004646	Acinetobacter sp. WCHA55	species
TaxID_216938	Spiroplasma helicoides	species
TaxID_632569	Saccharomonospora marina	species
TaxID_1316593	Capnocytophaga sp. oral taxon 864	species
TaxID_33	Myxococcus fulvus	species
TaxID_1297661	Munia coronavirus HKU13	species
TaxID_141	Borrelia parkeri	species
TaxID_145262	Methanothermobacter thermautotrophicus	species
TaxID_1813769	Salmonella phage 64795_sal3	species
TaxID_2083055	Pseudomonas sp. LH1G9	species
TaxID_2009329	Sagittula sp. P11	species
TaxID_1794699	Thermodesulfobium acidiphilum	species
TaxID_244366	Klebsiella variicola	species
TaxID_60890	Phaeobacter gallaeciensis	species
TaxID_1580596	Phaeobacter piscinae	species
TaxID_375286	Janthinobacterium sp. Marseille	species
TaxID_1570330	Bacillus sp. BH072	species
TaxID_1727163	Algoriphagus sp. M8-2	species
TaxID_2107708	Pandoravirus neocaledonia	species
TaxID_642780	Marmoricola scoriae	species
TaxID_1871111	Acinetobacter defluvii	species
TaxID_1701826	Streptococcus phage phiARI0462	species
TaxID_414771	Paenibacillus donghaensis	species
TaxID_46429	Sphingobium chlorophenolicum	species
TaxID_1893	Streptomyces atratus	species
TaxID_1663591	Magnetospirillum sp. XM-1	species
TaxID_2057800	Actinomyces sp. 410	species
TaxID_691	Vibrio natriegens	species
TaxID_2066	Kitasatospora setae	species
TaxID_1914471	Sulfuritortus calidifontis	species
TaxID_353	Azotobacter chroococcum	species
TaxID_441209	Rhodobaca barguzinensis	species
TaxID_167642	Ilyobacter polytropus	species
TaxID_260552	Microbulbifer agarilyticus	species
TaxID_2082188	Sphingobium sp. YG1	species
TaxID_1891926	Fuerstia marisgermanicae	species
TaxID_1898474	Macrococcus sp. IME1552	species
TaxID_547188	Phycisphaera mikurensis	species
TaxID_349221	Micavibrio aeruginosavorus	species
TaxID_203263	Corynebacterium aquilae	species
TaxID_1165908	Simian adenovirus B	species
TaxID_45497	[Clostridium] ultunense	species
TaxID_52773	Actinomyces meyeri	species
TaxID_134537	Paraburkholderia fungorum	species
TaxID_2072405	Stenotrophomonas sp. ZAC14D2_NAIMI4_7	species
TaxID_178899	Carboxydocella thermautotrophica	species
TaxID_92401	Mycoplasma cloacale	species
TaxID_87541	Aerococcus christensenii	species
TaxID_1173754	Salmonella virus FSLSP030	species
TaxID_1392877	Pseudomonas oryzae	species
TaxID_324078	Mesoplasma coleopterae	species
TaxID_198467	Anoxybacillus gonensis	species
TaxID_179879	Burkholderia anthina	species
TaxID_1389004	Sulfitobacter sp. SK011	species
TaxID_1678678	Burkholderia sp. HB1	species
TaxID_1632864	Planctomyces sp. SH-PL14	species
TaxID_1084	Pararhodospirillum photometricum	species
TaxID_670052	Cryobacterium arcticum	species
TaxID_1306993	Pseudomonas soli	species
TaxID_184064	Thermodesulfobium narugense	species
TaxID_1806885	Sphingorhabdus sp. M41	species
TaxID_1646	Renibacterium salmoninarum	species
TaxID_118562	Arthrospira platensis	species
TaxID_1871037	Flavobacteriaceae bacterium	species
TaxID_126738	Thermotoga sp. RQ7	species
TaxID_1582155	Clostridium phage phiCD506	species
TaxID_52227	Prevotella dentalis	species
TaxID_1920128	Enterobacteriaceae bacterium ENNIH3	species
TaxID_470	Acinetobacter baumannii	species
TaxID_1488	Clostridium acetobutylicum	species
TaxID_1636423	Burkholderia sp. MSMB1588	species
TaxID_1863008	Shigella phage SHFML-11	species
TaxID_1981041	Klebsiella virus KLPN1	species
TaxID_28038	Lactobacillus curvatus	species
TaxID_132920	Exiguobacterium antarcticum	species
TaxID_90245	Oligella urethralis	species
TaxID_35786	Coprothermobacter proteolyticus	species
TaxID_1812480	Streptomyces sp. fd1-xmd	species
TaxID_1795053	Microbacterium sp. PAMC 28756	species
TaxID_1262536	Lactococcus phage jm3	species
TaxID_1922330	Vibrio virus VC8	species
TaxID_1302308	Rhodococcus sp. P1Y	species
TaxID_1765967	Acidihalobacter ferrooxidans	species
TaxID_2033438	Serratia sp. MYb239	species
TaxID_2047	Rothia dentocariosa	species
TaxID_2234	Archaeoglobus fulgidus	species
TaxID_416344	Burkholderia sp. KJ006	species
TaxID_396	Rhizobium phaseoli	species
TaxID_1894	Kitasatospora aureofaciens	species
TaxID_1126833	Paenibacillus beijingensis	species
TaxID_1933910	Bartonella sp. A1379B	species
TaxID_336810	Candidatus Sulcia muelleri	species
TaxID_2211140	Acidobacteriaceae bacterium SBC82	species
TaxID_2304606	Lactobacillus sp. HBUAS52074	species
TaxID_728003	Cycloclasticus sp. PY97N	species
TaxID_84590	Taylorella asinigenitalis	species
TaxID_1868135	Enterobacter sp. HK169	species
TaxID_238834	Clostridium estertheticum	species
TaxID_1100043	Apis mellifera filamentous virus	species
TaxID_1332188	Candidatus Saccharimonas aalborgensis	species
TaxID_2060726	Neorhizobium sp. SOG26	species
TaxID_2093856	Butyricimonas faecalis	species
TaxID_583357	Thermoanaerobacter mathranii	species
TaxID_1920114	Leclercia sp. LSNIH1	species
TaxID_2042057	Pectobacterium polaris	species
TaxID_29447	Xanthomonas albilineans	species
TaxID_1007676	Lactobacillus ginsenosidimutans	species
TaxID_666686	Bacillus sp. 1NLA3E	species
TaxID_1581680	Candidatus Methylopumilus turicensis	species
TaxID_2126346	Streptacidiphilus sp. DSM 106435	species
TaxID_40988	Saccharomonospora azurea	species
TaxID_84030	[Clostridium] saccharolyticum	species
TaxID_1809410	Herminiimonas arsenitoxidans	species
TaxID_1987989	Salmonella virus SH19	species
TaxID_393921	Porphyromonas crevioricanis	species
TaxID_465721	Steroidobacter denitrificans	species
TaxID_1914892	Salmonella virus SE1	species
TaxID_261302	Paraburkholderia phytofirmans	species
TaxID_1814957	Streptococcus virus 9871	species
TaxID_1993630	Adoxophyes honmai entomopoxvirus	species
TaxID_1914160	Escherichia virus JS09	species
TaxID_106654	Acinetobacter nosocomialis	species
TaxID_1881061	Stappia sp. ES.058	species
TaxID_80869	Acidovorax citrulli	species
TaxID_2304600	Breoghania sp. L-A4	species
TaxID_331278	Yersinia phage phiR1-37	species
TaxID_29423	Legionella oakridgensis	species
TaxID_72361	Bacillus vallismortis	species
TaxID_927	Halothiobacillus neapolitanus	species
TaxID_1184	Leptolyngbya boryana	species
TaxID_1901	Streptomyces clavuligerus	species
TaxID_1408	Bacillus pumilus	species
TaxID_86265	Pseudomonas thivervalensis	species
TaxID_38300	Streptomyces pristinaespiralis	species
TaxID_709797	Bradyrhizobiaceae bacterium SG-6C	species
TaxID_1411095	Clostridium phage CDMH1	species
TaxID_502682	Erythrobacter gangjinensis	species
TaxID_1495144	methanogenic archaeon ISO4-H5	species
TaxID_2115	Mycoplasma fermentans	species
TaxID_1882757	Streptomyces sp. 3214.6	species
TaxID_1108595	Chromobacterium vaccinii	species
TaxID_83984	Methanocorpusculum labreanum	species
TaxID_1834207	Erysipelotrichaceae bacterium I46	species
TaxID_1750719	Kurthia sp. 11kri321	species
TaxID_1924285	Prochlorococcus sp. RS50	species
TaxID_1982042	Altererythrobacter mangrovi	species
TaxID_960	Bacteriovorax stolpii	species
TaxID_28077	Nitrospirillum amazonense	species
TaxID_658643	Pseudomonas sp. R4-35-07	species
TaxID_2341112	Alphaproteobacteria bacterium WS11	species
TaxID_1401	Paenibacillus lautus	species
TaxID_399742	Enterobacter sp. 638	species
TaxID_1926	Streptomyces reticuli	species
TaxID_1280380	Synechococcus sp. KORDI-100	species
TaxID_43948	Tolumonas auensis	species
TaxID_1343	Streptococcus vestibularis	species
TaxID_1806905	Arthrobacter sp. ZXY-2	species
TaxID_453304	Agromyces aureus	species
TaxID_54571	Streptomyces venezuelae	species
TaxID_1699623	Psychrobacter sp. P11G3	species
TaxID_217	Helicobacter mustelae	species
TaxID_1572753	Escherichia phage P483	species
TaxID_1930764	Sporosarcina sp. P33	species
TaxID_1981174	Pseudomonas sp. M30-35	species
TaxID_1980966	Campylobacter virus CP30A	species
TaxID_47878	Pseudomonas azotoformans	species
TaxID_1364	Lactococcus piscium	species
TaxID_84096	Gordonia alkanivorans	species
TaxID_1096	Chlorobium phaeobacteroides	species
TaxID_748811	Sulfuritalea hydrogenivorans	species
TaxID_33070	Synechococcus lividus	species
TaxID_669359	Geminocystis herdmanii	species
TaxID_1796646	Muribaculum intestinale	species
TaxID_158822	Cedecea neteri	species
TaxID_2007306	Francisella sp. FDC440	species
TaxID_392416	Lactobacillus crustorum	species
TaxID_238	Elizabethkingia meningoseptica	species
TaxID_206	Campylobacter sputorum	species
TaxID_60520	Lactobacillus paraplantarum	species
TaxID_1051631	Streptococcus phage YMC-2011	species
TaxID_1938820	Serratia sp. JKS000199	species
TaxID_2004647	Acinetobacter sp. WCHAc010052	species
TaxID_223967	Methylorubrum populi	species
TaxID_1941349	Sedimentisphaera salicampi	species
TaxID_1603555	Candidatus Nitrosotenuis cloacae	species
TaxID_1230341	Salimicrobium jeotgali	species
TaxID_61645	Enterobacter asburiae	species
TaxID_54006	Peptoniphilus ivorii	species
TaxID_1223307	Streptomyces sp. PVA 94-07	species
TaxID_1178537	Bacillus xiamenensis	species
TaxID_416273	Natronomonas moolapensis	species
TaxID_1049283	Acinetobacter phage ZZ1	species
TaxID_1307761	Salinispira pacifica	species
TaxID_94624	Bordetella petrii	species
TaxID_1352	Enterococcus faecium	species
TaxID_114527	Mogibacterium diversum	species
TaxID_1681	Bifidobacterium bifidum	species
TaxID_87883	Burkholderia multivorans	species
TaxID_1673887	Citrobacter phage IME-CF2	species
TaxID_188932	Pedobacter cryoconitis	species
TaxID_1805465	Citrobacter phage SH2	species
TaxID_215173	Wolbachia endosymbiont of Bemisia tabaci	species
TaxID_169292	Corynebacterium aurimucosum	species
TaxID_537874	Streptococcus phage PH15	species
TaxID_1985725	Klebsiella virus Kp1	species
TaxID_162209	Paenibacillus naphthalenovorans	species
TaxID_980427	Deinococcus wulumuqiensis	species
TaxID_366522	Sulfurospirillum cavolei	species
TaxID_622	Shigella dysenteriae	species
TaxID_1367203	Hemileuca sp. nucleopolyhedrovirus	species
TaxID_1873698	Pteropox virus	species
TaxID_37330	Nocardia nova	species
TaxID_1389011	Sulfitobacter sp. SK025	species
TaxID_158080	Chromohalobacter salexigens	species
TaxID_2011012	Bacillus sp. FJAT-45348	species
TaxID_161675	Tamana bat virus	species
TaxID_102134	Desulfallas gibsoniae	species
TaxID_1550579	Mucilaginibacter gotjawali	species
TaxID_1674922	Labrenzia sp. CP4	species
TaxID_2145	Spiroplasma taiwanense	species
TaxID_1229751	Lactococcus phage BM13	species
TaxID_143813	Pseudomonas sp. LAB-08	species
TaxID_61015	Staphylococcus succinus	species
TaxID_39483	Faecalitalea cylindroides	species
TaxID_1147043	Staphylococcus phage StB20	species
TaxID_1522092	Clostridium phage phiCDHM19	species
TaxID_1340812	Synechococcus phage S-MbCM100	species
TaxID_19	Pelobacter carbinolicus	species
TaxID_741091	Rahnella sp. Y9602	species
TaxID_2321394	Actinomyces sp. 2129	species
TaxID_564	Escherichia fergusonii	species
TaxID_2303538	Salinimonas sp. N102	species
TaxID_507626	Halomonas chromatireducens	species
TaxID_195498	Synechococcus sp. PCC 7117	species
TaxID_35814	Bordetella holmesii	species
TaxID_1852374	Ezakiella massiliensis	species
TaxID_1487956	Corynebacterium sp. ATCC 6931	species
TaxID_367488	Blattabacterium sp. (Periplaneta americana)	species
TaxID_331696	Pseudolabrys taiwanensis	species
TaxID_1977852	Bordetella sp. J329	species
TaxID_1255	Pediococcus pentosaceus	species
TaxID_53435	Treponema paraluiscuniculi	species
TaxID_1169025	Streptomyces pratensis	species
TaxID_585455	Thiohalobacter thiocyanaticus	species
TaxID_1903186	Brachybacterium sp. P6-10-X1	species
TaxID_1177712	Komagataeibacter medellinensis	species
TaxID_2067960	Azoarcus sp. SY39	species
TaxID_35701	Heliobacterium modesticaldum	species
TaxID_79967	Erwinia pyrifoliae	species
TaxID_1922217	Candidatus Erwinia sp. ErCipseudotaxifoliae	species
TaxID_879630	Aeromonas phage phiAS5	species
TaxID_61435	Dehalococcoides mccartyi	species
TaxID_93219	Pandoraea norimbergensis	species
TaxID_2099584	Streptomyces sp. ICC4	species
TaxID_483	Neisseria cinerea	species
TaxID_1969806	Acidisphaera sp. G45-3	species
