TaxID	CSM5MCXD	CSM5MCVL	CSM5FZ4M	CSM5MCXH	CSM5MCY4	CSM5MCUO	CSM5MCW6	CSM5MCWC	CSM5MCXT	CSM67UEW_TR	CSM5MCZB	CSM67U9H	CSM67UAK	CSM67UAU	CSM67UB9	CSM79HHO	CSM67UH7	CSM79HH4	CSM79HHW	CSM79HKX	CSM79HNE	CSM79HNO	CSM7KOP6	CSM7KORO	CSM7KOTO	CSM7KOUL	MSM5LLDI	MSM5LLGL	MSM5LLEP	MSM6J2J3	MSM6J2HD	MSM5LLHC	MSM6J2IE	MSM5LLF4	MSM6J2HN	MSM6J2JN	MSM6J2JZ	MSM6J2PO	MSM6J2Q1	MSM79H54	MSM79H5E	MSM79HF3	MSM79HDK	MSM79HDA	MSM79H7C	MSM79HCG	MSM79H8D	MSM9VZMA	MSM9VZFL	MSM9VZNR	MSM9VZMM	MSM9VZPH	MSM9VZL5	MSMA267V
TaxID_399736	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.008	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.001
TaxID_864051	0.0	0.001	0.0	0.0	0.002	0.001	0.001	0.0	0.001	0.001	0.001	0.002	0.0	0.002	0.0	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.002	0.001	0.001	0.0	0.001	0.0	0.0	0.002	0.0	0.002	0.0	0.003	0.0	0.0	0.001	0.002	0.002	0.003	0.002	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.004
TaxID_1920861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_189381	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.006999999999999999	0.001	0.002	0.0	0.003	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.006999999999999999	0.0	0.001	0.001	0.005	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.002	0.001	0.001	0.0	0.002	0.0	0.001	0.0	0.003	0.0	0.001	0.0	0.001	0.002	0.001
TaxID_1511	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.006	0.001	0.002	0.0	0.003	0.001	0.001	0.0	0.003	0.001	0.001	0.0	0.001	0.006999999999999999	0.0	0.002	0.002	0.001	0.001	0.0	0.001	0.002	0.002	0.0	0.004	0.001	0.004	0.0	0.0	0.001	0.005	0.001	0.002	0.002	0.002	0.0	0.006	0.0	0.0	0.001	0.0	0.001	0.002	0.0	0.002	0.0	0.004
TaxID_1218494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013999999999999999	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.012	0.0	0.001	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
TaxID_1502	0.003	0.001	0.002	0.001	0.004	0.005	0.002	0.084	0.003	0.013	0.002	0.012	0.004	0.004	0.001	0.016	0.003	0.002	0.006999999999999999	0.042	0.027	0.002	0.009000000000000001	0.041	0.005	0.002	0.001	0.003	0.004	0.013999999999999999	0.001	0.006999999999999999	0.003	0.05	0.003	0.002	0.012	0.012	0.011000000000000001	0.029	0.006999999999999999	0.008	0.003	0.36	0.004	0.003	0.003	0.005	0.002	0.006	0.001	0.006	0.006999999999999999	0.016
TaxID_2424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.001
TaxID_143223	0.001	0.0	0.003	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.002	0.0	0.009000000000000001	0.001	0.001	0.0	0.0	0.001	0.001	0.009000000000000001	0.003	0.001	0.002	0.001	0.004	0.001	0.001	0.002	0.0	0.002	0.001	0.001	0.002	0.011000000000000001	0.002	0.002	0.002	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.001	0.001	0.002	0.006	0.003
TaxID_1843368	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001
TaxID_901	0.002	0.0	0.002	0.005	0.012	0.004	0.002	0.004	0.008	0.004	0.008	0.001	0.001	0.004	0.001	0.01	0.01	0.013	0.002	0.002	0.004	0.0	0.005	0.001	0.002	0.002	0.006	0.005	0.001	0.02	0.001	0.013999999999999999	0.012	0.006	0.003	0.001	0.009000000000000001	0.003	0.003	0.013	1.044	0.013999999999999999	0.004	0.006	0.001	0.001	0.005	0.006999999999999999	0.002	0.002	0.002	0.039	0.006	0.005
TaxID_2500547	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.002	0.0	0.001	0.002	0.0	0.006	0.001	0.001	0.0	0.001	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.001	0.004	0.003	0.003	0.001	0.0	0.001	0.001	0.0	0.001	0.002	0.0	0.001	0.001	0.0	0.001	0.004
TaxID_1678129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002
TaxID_1761794	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001
TaxID_1500686	0.001	0.0	0.001	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.002	0.0	0.001	0.001	0.001	0.0	0.002	0.002	0.001	0.001	0.006	0.0	0.001	0.0	0.001	0.0	0.008	0.0	0.001	0.002	0.001	0.003
TaxID_1714860	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.002	0.0	0.009000000000000001	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.001	0.002	0.0	0.001	0.001	0.009000000000000001	0.001	0.0	0.001	0.001	0.002	0.0	0.004	0.0	0.001	0.0	0.0	0.005	0.002	0.008	0.001	0.003	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.002	0.004	0.001
TaxID_1348114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
TaxID_1973475	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.008	0.0	0.001	0.005	0.0	0.001	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.004	0.001	0.0	0.001	0.0	0.002	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.002
TaxID_55508	0.0	0.001	0.0	0.001	0.002	0.001	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.002	0.0	0.005	0.001	0.003	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.001	0.002	0.0	0.001	0.003	0.0	0.006999999999999999	0.001	0.004	0.001	0.0	0.002	0.003	0.003	0.006999999999999999	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.002	0.001	0.004
TaxID_2496867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.002	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001
TaxID_1403390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_69223	0.001	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.001	0.001	0.001	0.009000000000000001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.002	0.0	0.001	0.001	0.0	0.0	0.016	0.001	0.001	0.001	0.0	0.002	0.001	0.001	0.002	0.003	0.003	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.001	0.002
TaxID_556288	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.004	0.001	0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001
TaxID_1261031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_2203724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001
TaxID_2321403	0.001	0.0	0.003	0.005	0.005	0.003	0.004	0.003	0.002	0.002	0.006999999999999999	0.015	0.001	0.002	0.002	0.013999999999999999	0.001	0.008	0.001	0.004	0.003	0.0	0.008	0.002	0.005	0.005	0.008	0.002	0.002	0.003	0.001	0.02	0.002	0.001	0.004	0.003	0.013999999999999999	0.004	0.011000000000000001	0.021	0.008	0.003	0.003	0.0	0.003	0.0	0.005	0.002	0.003	0.001	0.003	0.004	0.006	0.006999999999999999
TaxID_671990	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001
TaxID_267128	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.006	0.0	0.0	0.0	0.001	0.01	0.001	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.003	0.0	0.001	0.001	0.0	0.001	0.002	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.003
TaxID_2126319	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.002	0.0	0.0	0.003	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.003	0.001	0.003	0.0	0.001	0.003	0.001	0.001	0.011000000000000001	0.004	0.002	0.001	0.006	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.001	0.002
TaxID_1767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.004	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.005
TaxID_192843	0.001	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.003	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.002	0.0	0.001	0.0	0.001	0.005	0.001	0.002
TaxID_85698	0.002	0.003	0.005	0.001	0.005	0.002	0.005	0.0	0.003	0.005	0.003	0.01	0.001	0.006	0.001	0.013	0.002	0.006	0.001	0.001	0.005	0.0	0.006	0.001	0.002	0.005	0.004	0.003	0.001	0.004	0.006	0.016	0.003	0.005	0.003	0.001	0.015	0.006999999999999999	0.006	0.023	0.017	0.006999999999999999	0.006	0.006	0.003	0.003	0.005	0.002	0.002	0.003	0.002	0.008	0.003	0.013
TaxID_2208	0.001	0.0	0.001	0.003	0.001	0.001	0.001	0.0	0.002	0.001	0.002	0.0	0.0	0.001	0.0	0.002	0.001	0.002	0.0	0.0	0.002	0.0	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.001	0.0	0.005	0.0	0.001	0.001	0.0	0.002	0.002	0.002	0.003	0.002	0.002	0.001	0.001	0.0	0.001	0.002	0.0	0.001	0.001	0.0	0.002	0.001	0.002
TaxID_234827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_1680908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_1412875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_161360	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001
TaxID_1862358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.005	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
TaxID_2493674	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.003	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001
TaxID_1968541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.001	0.001	0.0	0.004	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002
TaxID_2057025	0.003	0.0	0.004	0.005	0.003	0.002	0.0	0.004	0.002	0.001	0.004	0.017	0.002	0.001	0.003	0.003	0.0	0.004	0.001	0.003	0.002	0.003	0.004	0.001	0.006	0.003	0.004	0.002	0.002	0.002	0.002	0.013	0.003	0.0	0.004	0.004	0.018000000000000002	0.003	0.013999999999999999	0.006	0.006	0.001	0.005	0.0	0.002	0.0	0.003	0.005	0.002	0.004	0.003	0.006	0.006	0.004
TaxID_1814128	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.003	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.002	0.0	0.001	0.0	0.0	0.001	0.001	0.001	0.0	0.001	0.001
TaxID_2268461	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.006999999999999999	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001
TaxID_1922553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_13773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_1486034	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.001
