PathID	Pathway
PathID_23	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Porphyromonas.s__Porphyromonas_asaccharolytica
PathID_24	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Olsenella.s__Olsenella_sp_oral_taxon_809
PathID_25	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lactococcus.s__Lactococcus_raffinolactis
PathID_26	HISTSYN-PWY: L-histidine biosynthesis|g__Streptococcus.s__Streptococcus_sobrinus
PathID_27	PANTO-PWY: phosphopantothenate biosynthesis I|g__Porphyromonas.s__Porphyromonas_uenonis
PathID_28	PWY-6527: stachyose degradation|g__Eubacterium.s__Eubacterium_siraeum
PathID_29	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli
PathID_30	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Streptococcus.s__Streptococcus_sanguinis
PathID_31	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Actinomyces.s__Actinomyces_massiliensis
PathID_32	HISDEG-PWY: L-histidine degradation I|g__Klebsiella.s__Klebsiella_oxytoca
PathID_33	FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Prevotella.s__Prevotella_buccae
PathID_34	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Aeromonas.s__Aeromonas_caviae
PathID_35	PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Methanobrevibacter.s__Methanobrevibacter_smithii
PathID_36	PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_barnesiae
PathID_37	PWY-6936: seleno-amino acid biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum
PathID_38	VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_limosum
PathID_39	PWY-6123: inosine-5'-phosphate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae
PathID_40	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_indistinctus
PathID_41	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_buccalis
PathID_42	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Catenibacterium.s__Catenibacterium_mitsuokai
PathID_43	PWY0-1533: methylphosphonate degradation I|g__Shigella.s__Shigella_flexneri
PathID_44	PWY-4981: L-proline biosynthesis II (from arginine)|g__Olsenella.s__Olsenella_sp_oral_taxon_809
PathID_45	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Megamonas.s__Megamonas_hypermegale
PathID_46	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Porphyromonas.s__Porphyromonas_asaccharolytica
PathID_47	PWY-5083: NAD/NADH phosphorylation and dephosphorylation|g__Escherichia.s__Escherichia_albertii
PathID_48	PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris
PathID_49	PWY-6700: queuosine biosynthesis
PathID_50	PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|g__Raoultella.s__Raoultella_ornithinolytica
PathID_51	PWY-6609: adenine and adenosine salvage III|g__Shigella.s__Shigella_flexneri
PathID_52	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterobacter.s__Enterobacter_aerogenes
PathID_53	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Streptococcus.s__Streptococcus_dysgalactiae
PathID_54	PWY-6897: thiamin salvage II|g__Escherichia.s__Escherichia_coli
PathID_55	PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_helveticus
PathID_56	PWY0-1061: superpathway of L-alanine biosynthesis|g__Enterococcus.s__Enterococcus_hirae
PathID_57	PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I|g__Escherichia.s__Escherichia_fergusonii
PathID_58	PWY-5103: L-isoleucine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila
PathID_59	PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Streptococcus.s__Streptococcus_sp_2_1_36FAA
PathID_60	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_fergusonii
PathID_61	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Enterococcus.s__Enterococcus_faecium
PathID_62	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Alistipes.s__Alistipes_indistinctus
PathID_63	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_xylanisolvens
PathID_64	PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus
PathID_65	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_JC304
PathID_66	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol|g__Klebsiella.s__Klebsiella_pneumoniae
PathID_67	VALSYN-PWY: L-valine biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii
PathID_68	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Stomatobaculum.s__Stomatobaculum_longum
PathID_69	PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Actinomyces.s__Actinomyces_graevenitzii
PathID_70	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Clostridium.s__Clostridium_sp_ATCC_BAA_442
PathID_71	HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Neisseria.s__Neisseria_flavescens
PathID_72	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lactococcus.s__Lactococcus_lactis
PathID_73	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Clostridium.s__Clostridium_celatum
PathID_74	NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Enterobacteriaceae_noname.s__Enterobacteriaceae_bacterium_9_2_54FAA
PathID_75	PWY-6897: thiamin salvage II|g__Actinomyces.s__Actinomyces_cardiffensis
PathID_76	PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae
PathID_77	PWY-5918: superpathay of heme biosynthesis from glutamate|g__Neisseria.s__Neisseria_flavescens
PathID_78	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Anaerotruncus.s__Anaerotruncus_colihominis
PathID_79	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Mitsuokella.s__Mitsuokella_multacida
PathID_80	PWY-7279: aerobic respiration II (cytochrome c) (yeast)|g__Pseudomonas.s__Pseudomonas_aeruginosa
PathID_81	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Roseburia.s__Roseburia_intestinalis
PathID_82	PWY-6527: stachyose degradation|g__Lactobacillus.s__Lactobacillus_casei_paracasei
PathID_83	PWY-922: mevalonate pathway I|g__Lactobacillus.s__Lactobacillus_sakei
PathID_84	PWY-2942: L-lysine biosynthesis III|g__Erysipelotrichaceae_noname.s__Clostridium_spiroforme
PathID_85	KETOGLUCONMET-PWY: ketogluconate metabolism|g__Escherichia.s__Escherichia_coli
PathID_86	UNINTEGRATED|g__Cetobacterium.s__Cetobacterium_somerae
PathID_87	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Campylobacter.s__Campylobacter_hominis
PathID_88	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Anaerofustis.s__Anaerofustis_stercorihominis
PathID_89	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Clostridiales_Family_XIII_Incertae_Sedis_noname.s__Eubacterium_infirmum
PathID_90	PWY-5686: UMP biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes
PathID_91	PWY-5690: TCA cycle II (plants and fungi)
PathID_92	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Coprobacillus.s__Coprobacillus_sp_3_3_56FAA
PathID_93	PWY-922: mevalonate pathway I|g__Granulicatella.s__Granulicatella_adiacens
PathID_94	PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Citrobacter.s__Citrobacter_freundii
PathID_95	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA
PathID_96	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Haemophilus.s__Haemophilus_sputorum
PathID_97	PWY-922: mevalonate pathway I|g__Lactobacillus.s__Lactobacillus_vaginalis
PathID_98	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Paraprevotella.s__Paraprevotella_xylaniphila
PathID_99	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Collinsella.s__Collinsella_aerofaciens
PathID_100	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Enterococcus.s__Enterococcus_faecalis
PathID_101	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Fusobacterium.s__Fusobacterium_mortiferum
PathID_102	PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_acidophilus
PathID_103	PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_sp_KLE_1755
PathID_104	PWY-6124: inosine-5'-phosphate biosynthesis II|g__Shigella.s__Shigella_sonnei
PathID_105	COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens
PathID_106	PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Fusobacterium.s__Fusobacterium_varium
PathID_107	PWY-6703: preQ0 biosynthesis|g__Prevotella.s__Prevotella_timonensis
PathID_108	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Enterococcus.s__Enterococcus_hirae
PathID_109	PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA
PathID_110	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Veillonella.s__Veillonella_sp_6_1_27
PathID_111	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Fusobacterium.s__Fusobacterium_ulcerans
PathID_112	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_indistinctus
PathID_113	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Megamonas.s__Megamonas_rupellensis
PathID_114	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Enterococcus.s__Enterococcus_faecalis
PathID_115	PWY-5873: ubiquinol-7 biosynthesis (eukaryotic)|unclassified
PathID_116	PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus
PathID_117	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Clostridium.s__Clostridium_celatum
PathID_118	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Klebsiella.s__Klebsiella_oxytoca
PathID_119	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|g__Campylobacter.s__Campylobacter_hominis
PathID_120	PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Haemophilus.s__Haemophilus_sputorum
PathID_121	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eikenella.s__Eikenella_corrodens
PathID_122	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Succinatimonas.s__Succinatimonas_hippei
PathID_123	PWY-6700: queuosine biosynthesis|g__Coprococcus.s__Coprococcus_sp_ART55_1
PathID_124	PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Haemophilus.s__Haemophilus_parainfluenzae
PathID_125	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Haemophilus.s__Haemophilus_sputorum
PathID_126	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_buccae
PathID_127	UNINTEGRATED|g__Veillonella.s__Veillonella_parvula
PathID_128	VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena
PathID_129	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Escherichia.s__Escherichia_albertii
PathID_130	PWY-3781: aerobic respiration I (cytochrome c)|g__Aeromonas.s__Aeromonas_veronii
PathID_131	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA
PathID_132	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Streptococcus.s__Streptococcus_sanguinis
PathID_133	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Clostridium.s__Clostridium_hathewayi
PathID_134	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enterobacteriaceae_noname.s__Enterobacteriaceae_bacterium_9_2_54FAA
PathID_135	THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Lactobacillus.s__Lactobacillus_acidophilus
PathID_136	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Oxalobacter.s__Oxalobacter_formigenes
PathID_137	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_histicola
PathID_138	PWY-5896: superpathway of menaquinol-10 biosynthesis|g__Shigella.s__Shigella_sonnei
PathID_139	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Clostridiales_Family_XI_Incertae_Sedis_noname.s__Clostridiales_bacterium_BV3C26
PathID_140	PWY-5973: cis-vaccenate biosynthesis|g__Prevotella.s__Prevotella_denticola
PathID_141	PWY-4041: &gamma;-glutamyl cycle|g__Raoultella.s__Raoultella_ornithinolytica
PathID_142	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|g__Shigella.s__Shigella_sonnei
PathID_143	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Veillonella.s__Veillonella_sp_6_1_27
PathID_144	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Streptococcus.s__Streptococcus_salivarius
PathID_145	PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Shigella.s__Shigella_sonnei
PathID_146	PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Campylobacter.s__Campylobacter_hominis
PathID_147	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Acidaminococcus.s__Acidaminococcus_intestini
PathID_148	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA
PathID_149	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_gordonii
PathID_150	PWY-5097: L-lysine biosynthesis VI|g__Megasphaera.s__Megasphaera_micronuciformis
PathID_151	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus
PathID_152	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Plesiomonas.s__Plesiomonas_shigelloides
PathID_153	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Peptoniphilus.s__Peptoniphilus_harei
PathID_154	THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Campylobacter.s__Campylobacter_gracilis
PathID_155	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterococcus.s__Enterococcus_cecorum
PathID_156	GLYOXYLATE-BYPASS: glyoxylate cycle|g__Shigella.s__Shigella_flexneri
PathID_157	PWY-6168: flavin biosynthesis III (fungi)|g__Lactobacillus.s__Lactobacillus_antri
PathID_158	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Enterococcus.s__Enterococcus_faecium
PathID_159	PWY-6936: seleno-amino acid biosynthesis|g__Shigella.s__Shigella_flexneri
PathID_160	COA-PWY: coenzyme A biosynthesis I|g__Erysipelotrichaceae_noname.s__Clostridium_spiroforme
PathID_161	UNINTEGRATED|g__Veillonella.s__Veillonella_sp_6_1_27
PathID_162	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Citrobacter.s__Citrobacter_freundii
PathID_163	ARO-PWY: chorismate biosynthesis I|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA
PathID_164	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca
PathID_165	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Succinatimonas.s__Succinatimonas_hippei
PathID_166	PANTO-PWY: phosphopantothenate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae
PathID_167	ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|g__Shigella.s__Shigella_flexneri
PathID_168	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Lactobacillus.s__Lactobacillus_salivarius
PathID_169	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii
PathID_170	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Aeromonas.s__Aeromonas_veronii
PathID_171	PWY0-1297: superpathway of purine deoxyribonucleosides degradation
PathID_172	PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Citrobacter.s__Citrobacter_koseri
PathID_173	UNINTEGRATED|g__Dorea.s__Dorea_longicatena
PathID_174	PWY-5097: L-lysine biosynthesis VI|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3
PathID_175	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Shigella.s__Shigella_flexneri
PathID_176	PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Citrobacter.s__Citrobacter_koseri
PathID_177	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_sp_3_1_19
PathID_178	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lautropia.s__Lautropia_mirabilis
PathID_179	PWY-5103: L-isoleucine biosynthesis III|g__Thauera.s__Thauera_terpenica
PathID_180	PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_gallinarum
PathID_181	P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Weissella.s__Weissella_paramesenteroides
PathID_182	UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca
PathID_183	PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|g__Escherichia.s__Escherichia_hermannii
PathID_184	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_infantis
PathID_185	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_sp_L2_50
PathID_186	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_coprophilus
PathID_187	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Enterobacter.s__Enterobacter_cloacae
PathID_188	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_sp_3_2_5
PathID_189	PPGPPMET-PWY: ppGpp biosynthesis|g__Cronobacter.s__Cronobacter_sakazakii
PathID_190	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii
PathID_191	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Slackia.s__Slackia_exigua
PathID_192	UNINTEGRATED|g__Roseburia.s__Roseburia_hominis
PathID_193	PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sp_4_3_47FAA
PathID_194	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Streptococcus.s__Streptococcus_downei
PathID_195	PWY-7663: gondoate biosynthesis (anaerobic)|g__Enterococcus.s__Enterococcus_faecium
PathID_196	PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Proteus.s__Proteus_penneri
PathID_197	PWY-5686: UMP biosynthesis|g__Weissella.s__Weissella_paramesenteroides
PathID_198	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
PathID_199	PWY-6737: starch degradation V|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA
PathID_200	PWY0-1061: superpathway of L-alanine biosynthesis|g__Escherichia.s__Escherichia_hermannii
PathID_201	PWY0-1296: purine ribonucleosides degradation|g__Megasphaera.s__Megasphaera_micronuciformis
PathID_202	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pseudoramibacter.s__Pseudoramibacter_alactolyticus
PathID_203	PWY-5667: CDP-diacylglycerol biosynthesis I|g__Anaerococcus.s__Anaerococcus_obesiensis
PathID_204	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Megamonas.s__Megamonas_funiformis
PathID_205	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_sp_D13
PathID_206	PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron
PathID_207	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Enterococcus.s__Enterococcus_casseliflavus
PathID_208	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dorea.s__Dorea_longicatena
PathID_209	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA
PathID_210	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Aggregatibacter.s__Aggregatibacter_segnis
PathID_211	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_siraeum
PathID_212	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Lactococcus.s__Lactococcus_lactis
PathID_213	TCA: TCA cycle I (prokaryotic)|g__Citrobacter.s__Citrobacter_freundii
PathID_214	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|g__Klebsiella.s__Klebsiella_pneumoniae
PathID_215	PWY-6859: all-trans-farnesol biosynthesis|g__Shigella.s__Shigella_sonnei
PathID_216	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_bolteae
PathID_217	PWY-1042: glycolysis IV (plant cytosol)|g__Thauera.s__Thauera_terpenica
PathID_218	PENTOSE-P-PWY: pentose phosphate pathway|unclassified
PathID_219	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Fusobacterium.s__Fusobacterium_varium
PathID_220	PWY-7013: L-1,2-propanediol degradation|g__Escherichia.s__Escherichia_fergusonii
PathID_221	PWY-5667: CDP-diacylglycerol biosynthesis I|g__Clostridium.s__Clostridium_celatum
PathID_222	PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Eikenella.s__Eikenella_corrodens
PathID_223	UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum
PathID_224	PPGPPMET-PWY: ppGpp biosynthesis|g__Escherichia.s__Escherichia_albertii
PathID_225	PWY-6703: preQ0 biosynthesis|g__Citrobacter.s__Citrobacter_koseri
PathID_226	PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Peptostreptococcaceae_noname.s__Clostridium_sordellii
PathID_227	PWY0-1296: purine ribonucleosides degradation|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA
PathID_228	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Sutterella.s__Sutterella_parvirubra
PathID_229	PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Escherichia.s__Escherichia_albertii
PathID_230	GLUTORN-PWY: L-ornithine biosynthesis|g__Blautia.s__Ruminococcus_torques
PathID_231	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Oribacterium.s__Oribacterium_sinus
PathID_232	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Mitsuokella.s__Mitsuokella_multacida
PathID_233	SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_albertii
PathID_234	COLANSYN-PWY: colanic acid building blocks biosynthesis|g__Escherichia.s__Escherichia_coli
PathID_235	PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II|g__Campylobacter.s__Campylobacter_concisus
PathID_236	PWY66-422: D-galactose degradation V (Leloir pathway)|g__Citrobacter.s__Citrobacter_koseri
